map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
074_616,1634454.875195,0.010100,0.494300,0.102900,7,0.500000,5.558800,0.397100,5,0.097200,0.091500,0.084400,0.082300,0.019000,0.081300,0.020600,10.840900,0.033800,0.032400,0.001400,0.018100,4.152200,0.296600,3.243400,4.152200,0.296600,18.001900,0.605400,0.569600,0.000000,5,7.581400,5,0.492000,0.300400,1.310900,2.075500,51,40,50,74,8
075_617,1897992.513048,0.027000,0.494300,0.025800,7,0.500000,6.638400,0.474200,6,0.020100,0.014400,0.004400,0.004400,0.001200,0.004100,0.000800,0.163900,0.008100,0.007100,0.001000,-0.006400,4.669300,0.333500,3.743100,4.669300,0.333500,4.516500,0.580200,0.571900,0.823100,5,6.795500,5,0.413000,0.272300,1.308800,2.171400,90,44,58,54,8
076_618,1785396.874435,0.011200,0.494300,0.056700,7,0.500000,6.206300,0.443300,6,0.051000,0.045300,0.033100,0.032100,0.007100,0.031500,0.007100,3.511200,0.007900,0.007300,0.000700,0.001700,5.313500,0.379500,4.119200,5.313500,0.379500,9.914400,0.574000,0.566700,0.000000,5,8.267100,5,0.401600,0.255300,1.319900,2.171000,75,51,50,50,6
077_619,1520825.314357,0.010800,0.494300,0.065000,7,0.500000,6.089500,0.435000,6,0.059300,0.053600,0.044600,0.042900,0.010200,0.042200,0.010500,5.568500,0.019700,0.019700,-0.000000,0.007300,4.701900,0.335800,3.579500,4.701900,0.335800,11.372800,0.583300,0.572400,0.000000,5,7.629900,5,0.494000,0.333700,1.296200,2.083000,70,45,50,78,10
078_621,1701245.407394,0.014700,0.494300,0.072000,7,0.500000,5.992100,0.428000,6,0.066300,0.060600,0.051300,0.050500,0.012400,0.049900,0.014100,6.662400,0.013300,0.013200,0.000100,0.009700,4.648200,0.332000,3.612400,4.648200,0.332000,12.589200,0.585200,0.574200,0.000000,5,6.851600,5,0.481200,0.316200,1.310400,2.151500,67,44,50,73,8
079_622,1808386.948642,0.010100,0.494300,0.088100,7,0.500000,5.766700,0.411900,6,0.082400,0.076700,0.063700,0.061700,0.012200,0.060900,0.014600,7.294400,0.025000,0.024000,0.001000,0.009900,5.625700,0.401800,4.261500,5.625700,0.401800,15.404900,0.576000,0.568800,0.000000,5,8.440400,5,0.435700,0.277200,1.310700,2.243300,59,54,50,59,8
080_624,1458889.281344,0.008800,0.494300,0.012000,7,0.500000,6.832000,0.488000,8,0.006300,0.000600,-0.012500,-0.011300,-0.002800,-0.011400,-0.001900,-1.268700,-0.013700,-0.013900,0.000200,-0.008800,5.233700,0.373800,4.292000,5.233700,0.373800,2.099000,0.555000,0.587100,0.000000,5,7.527200,5,0.476000,0.323400,1.282400,2.013200,97,50,50,73,12
081_626,1511011.255620,0.006500,0.494300,0.018900,7,0.500000,6.734800,0.481100,7,0.013200,0.007500,-0.003900,-0.003600,-0.000900,-0.003900,-0.004500,-0.543100,-0.008200,-0.008500,0.000300,-0.007300,4.985300,0.356100,3.986800,4.985300,0.356100,3.312200,0.563100,0.575100,0.000000,5,7.508700,5,0.475800,0.284900,1.297800,2.136100,93,47,50,68,10
082_627,1822344.789364,0.014400,0.494300,0.045400,7,0.500000,6.364800,0.454600,7,0.039700,0.033900,0.025100,0.025500,0.007100,0.025300,0.010100,2.985000,0.014800,0.013600,0.001200,0.000200,4.249000,0.303500,3.546300,4.249000,0.303500,7.934100,0.576500,0.590300,0.942000,5,6.769700,5,0.493000,0.308700,1.320700,2.153700,80,40,60,74,6
085_632,1513634.818680,0.015100,0.494300,0.026300,7,0.500000,6.632400,0.473700,8,0.020500,0.014800,-0.004600,-0.003800,-0.000700,-0.003800,-0.001700,-0.187300,-0.008700,-0.008900,0.000200,-0.006400,7.007700,0.500600,5.390800,7.007700,0.500600,4.591400,0.546900,0.576500,0.000000,5,7.511800,5,0.469800,0.354400,1.276900,2.079100,90,67,50,76,13
