map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
014_533,1594135.444260,0.005100,0.494300,0.049400,7,0.500000,6.308500,0.450600,7,0.043700,0.038000,0.025100,0.025500,0.006000,0.025300,0.009200,2.456400,0.003300,0.001700,0.001600,-0.001600,5.298900,0.378500,4.256200,5.298900,0.378500,8.637100,0.565900,0.580500,0.000000,5,7.673900,5,0.493800,0.333200,1.288700,2.158700,78,50,50,78,11
015_534,1484510.738772,0.010000,0.494300,0.020800,7,0.500000,6.708100,0.479200,8,0.015100,0.009400,-0.005200,-0.004200,-0.001000,-0.004300,-0.001500,-0.584900,-0.013300,-0.013900,0.000600,-0.007600,5.683000,0.405900,4.550500,5.683000,0.405900,3.645700,0.552700,0.584900,0.000000,5,8.133800,5,0.511400,0.325900,1.287800,2.073800,92,54,50,78,12
016_535,1570490.266005,0.008200,0.494300,0.048900,7,0.500000,6.315900,0.451100,8,0.043100,0.037400,0.023700,0.023800,0.005400,0.023700,0.008100,3.077600,-0.009800,-0.010300,0.000500,0.000900,5.839200,0.417100,4.397800,5.839200,0.417100,8.545300,0.558600,0.592600,0.000000,5,7.595800,5,0.513800,0.348900,1.294200,2.082100,78,56,50,81,10
017_536,1720245.780521,0.007200,0.494300,0.051800,7,0.500000,6.275300,0.448200,7,0.046000,0.040300,0.027500,0.027700,0.006500,0.027500,0.010800,3.433200,0.007600,0.006500,0.001100,0.001200,5.367300,0.383400,4.251700,5.367300,0.383400,9.052500,0.572000,0.585600,0.773600,5,7.473500,5,0.510800,0.336300,1.306700,2.074300,77,51,58,80,8
018_537,1519233.253479,0.005200,0.494300,0.032700,7,0.500000,6.542400,0.467300,7,0.027000,0.021300,0.004900,0.005200,0.001100,0.005100,0.001900,0.538300,-0.005400,-0.006100,0.000700,-0.005200,6.444100,0.460300,4.862500,6.444100,0.460300,5.716500,0.556400,0.569300,0.000000,5,7.584200,5,0.473400,0.318200,1.301500,2.136000,87,61,50,72,10
019_538,1679862.788867,0.005700,0.494300,0.052200,7,0.500000,6.268700,0.447800,7,0.046500,0.040800,0.026600,0.026700,0.005900,0.026500,0.010000,2.740900,0.001700,0.000400,0.001300,-0.000700,5.682900,0.405900,4.489200,5.682900,0.405900,9.134500,0.564000,0.578000,0.000000,5,8.186800,5,0.472800,0.304800,1.291000,2.182700,77,54,50,70,11
020_539,1469467.490246,0.014000,0.494300,0.053100,7,0.500000,6.256800,0.446900,6,0.047400,0.041600,0.029800,0.028300,0.006100,0.027500,0.006300,3.003700,0.010000,0.009500,0.000500,0.000600,5.316900,0.379800,4.072700,5.316900,0.379800,9.283200,0.572100,0.565000,0.000000,5,8.151700,5,0.505200,0.320100,1.292500,2.109200,76,51,50,78,10
021_541,1510889.307635,0.011100,0.494300,0.082200,7,0.500000,5.849100,0.417800,6,0.076500,0.070800,0.055600,0.054200,0.010400,0.053500,0.013800,6.201400,0.022300,0.021200,0.001000,0.007300,6.090600,0.435000,4.649700,6.090600,0.435000,14.376000,0.574100,0.567400,0.000000,5,8.304700,5,0.463400,0.357600,1.276900,2.014900,62,58,50,74,13
022_542,1487648.732965,0.013400,0.494300,0.076000,7,0.500000,5.936000,0.424000,6,0.070300,0.064600,0.051100,0.049600,0.010100,0.048900,0.012300,6.019500,0.010700,0.010200,0.000500,0.007600,5.821800,0.415800,4.359200,5.821800,0.415800,13.291100,0.575800,0.567800,0.000000,5,7.552100,5,0.497100,0.332400,1.282500,2.087300,65,55,50,78,12
023_543,1527082.441907,0.009600,0.494300,0.064700,7,0.500000,6.094200,0.435300,6,0.059000,0.053300,0.040700,0.039900,0.008800,0.039400,0.011300,5.193400,0.005000,0.004700,0.000300,0.006100,5.605200,0.400400,4.199200,5.605200,0.400400,11.314200,0.579500,0.570100,0.000000,5,7.666500,5,0.485800,0.354000,1.279000,2.052900,71,53,50,79,12
